oid,otype,morph_type,rvz_redshift,B,V,u_,g_,r_,i_,z_
545553,Sy1,SAB,0.03664,16.46,16.08,16.047,15.192,14.626,14.314,14.093
543916,Sy1,SA,0.008506,13,14,15.442,13.759,12.894,12.659,12.168
1672999,Sy1,?...,0.16012,16.73,16.55,16.5957,16.4445,16.4036,16.0995,16.252
4495329,Sy1,S0/a,0.08378,17.62,17.2,17.33,16.463,15.809,15.327,15.107
2210181,Sy1,cG,0.05018,17.57,17.13,17.394,16.553,16.221,15.727,15.673
1845232,Sy2,?rs...,0.02074,17.52,16.71,16.506,14.951,14.244,13.885,13.611
1445445,Sy1,cG,0.066,15.02,14.66,15.137,14.895,14.501,14.036,13.969
541243,Sy2,E,0.20697,19.9,18.99,20.307,18.498,17.144,16.615,16.309
1658287,Sy1,E:,0.08583,17.37,16.95,17.5214,16.8908,16.5206,15.6957,15.8332
1797803,Sy1,?...,0.14373,16.32,16.12,16.0283,15.8959,15.7893,15.2849,15.5829
2816187,Sy1,S0/a,0.03595021,16.63,15.78,16.42,15.536,14.839,14.481,14.192
394538,Sy2,E/S0,0.038049188,15.57,14.58,16.891,15,14.387,13.937,13.689
1036347,Sy2,SB,0.02335,14.9,14.08,16.105,14.698,14.079,13.748,13.54
1105770,Sy2,E/S0,0.06484,20,19.62,17.422,15.612,14.715,14.253,13.998
1022241,Sy2,SA_B_a,0.02674,17.05,16.36,15.856,14.159,13.377,12.99,12.695
1629670,Sy1,1,0.03322,16.23,15.82,15.825,14.797,14.131,13.737,13.435
1750502,Sy1,E,0.04753,17.18,17.01,16.843,16.595,16.522,16.075,16.08
504035,Sy1,E/S0,0.061,15.88,15.77,15.4292,15.5204,15.5745,15.2195,15.4204
1846173,Sy1,SB0,0.06871,16.77,16.5,16.444,16.074,15.796,15.233,15.266
2181223,Sy2,S,0.00873,17.8,16.5,15.252,13.612,12.144,11.605,11.22
545960,Sy1,E/S0,0.073,20.82,19.87,15.1556,15.0614,15.0474,14.5565,14.7223
362690,Sy2,S,0.1194,19.16,18.36,18.502,16.824,15.845,15.383,15.047
1642620,Sy1,0,0.0213,16.7,16.18,16.283,14.953,14.28,13.94,13.668
1369375,Sy2,Sb,0.07154,19.74,18.85,18.78,17.035,16.035,15.461,15.077
2257986,Sy2,Sc,0.02569,18.52,17.83,18.421,16.7,15.827,15.381,15.047
1137892,Sy2,S0-Sa,0.05819,17.95,17.33,17.99,16.346,15.587,15.171,14.858
1607373,Sy2,S0-Sa,0.04825,18.56,17.83,18.983,17.233,16.323,15.847,15.466
1936424,Sy2,SAB_x,0.008424623,11.76,11.02,13.528,12.301,11.585,11.191,10.85
1432046,Sy2,SB,0.007967227,11.6,10.85,14.454,12.851,11.951,11.513,11.045
2269570,Sy1,?...,0.36361,15.96,16,16.6355,16.6002,16.6048,16.6875,15.9664
2285316,Sy1,Sa/E,0.02959,12.7,15.3,16.454,15.2,14.67,14.327,14.077
1388066,Sy2,Irr,0.13904,20.16,19.48,20.062,18.388,17.613,17.15,16.806
3775765,Sy1,Sap,0.961,23.873,23.174,25.34,22.844,22.6573,22.286,20.8651
2006016,Sy1,Sd,0.02744,19.02,17.95,16.346,14.955,14.255,13.877,13.618
2632615,Sy1,Sb,0.09324,18.77,18.17,18.721,17.308,16.634,16.245,15.983
1386808,Sy2,S0,0.03725,19.31,18.7,19.16,17.624,16.857,16.474,16.196
1725468,Sy1,Sb,0.14256,19.04,18.32,18.813,17.661,16.747,16.266,15.838
1762369,Sy1,Sab,0.11993,17.77,17.53,17.133,16.954,16.716,16.249,16.34
7840996,Sy1,S0+,0.11557,18.05,17.35,19.25,17.771,16.884,16.45,16.153
507491,Sy2,S,0.00361,11.54,10.86,14.157,12.594,11.66,12.212,11.492
1765811,Sy2,SABc,0.002260784,11.11,10.53,14.447,12.55,11.776,11.315,11.056
466298,Sy2,SB,0.002915,13.68,12.7,14.175,12.374,11.544,11.115,10.803
983677,Sy2,Sb,0.01547,17.01,16.26,15.254,13.473,12.571,12.093,11.743
1107941,Sy1,Sb,0.02866,15.01,14.12,16.042,14.452,13.633,13.23,12.882
1372414,Sy1,Sc,0.03384,17.87,17.32,15.937,14.674,14.032,13.654,13.384
1105814,Sy2,-2,0.02661,15.5,14.72,16.996,15.139,14.274,13.837,13.527
1786677,Sy1,SBc,0.04217,17.81,17.2,16.411,15.058,14.37,13.976,13.679
490144,Sy1,1.5,0.02502,17.61,16.92,16.56,14.82,13.948,13.558,13.196
1395290,Sy2,SBb,0.05896,19.01,18.26,19.093,17.359,16.516,16.103,15.806
585135,Sy1,S,0.06385,15.88,15.34,17.145,15.756,15.097,14.741,14.449
1828184,Sy2,S_AB,0.0501,19.1,18.4,17.312,15.837,15.207,14.838,14.608
1691995,Sy1,Sb,0.01498,17.008,18.59,17.752,16.72,16.372,16.214,16.107
2759529,Sy1,SB_a,0.03576,16.15,15.51,16.407,15.642,15.12,14.855,14.65
4495373,Sy1,Sb,0.07288,18.64,18.06,18.211,17.084,16.393,15.945,15.664
1847841,Sy2,SA_B,0.028597,17.89,17.16,16.347,14.561,13.789,13.378,13.059
434630,Sy2,SA,-0.00012,7.89,6.94,11.673,9.635,8.708,8.373,7.921
1802855,Sy1,SBb,0.03241,18.15,17.57,17.428,15.835,15.089,14.698,14.382
442025,Sy2,S,0.0584,19.94,19.31,17.818,16.49,15.885,15.566,15.362
2109075,Sy2,SB,0.05792,18.69,18.02,18.743,17.006,16.214,15.814,15.535
2077068,Sy1,E...,0.44933,19.28,19.15,19.1048,18.8434,18.9354,18.6879,18.4485
5058070,Sy2,SBb,0.05874,16.16,15.58,17.614,16.02,15.211,14.758,14.415
2305434,Sy2,1,0.03336,17.95,17.26,17.668,15.942,15.166,14.76,14.406
1454954,Sy1,E/S0,0.04533,17.37,16.88,16.448,15.425,14.892,14.524,14.276
2055514,Sy2,SBb,0.04691,18.28,17.6,17.701,15.902,15.131,14.743,14.438
448577,Sy2,S,0.04298,19.18,18.51,17.28,15.786,15.12,14.759,14.467
1829781,Sy2,Sc,0.07292,19.25,18.5,18.819,17.014,16.141,15.627,15.244
1733576,Sy1,SD...,0.01856,14.5,14.62,15.827,15.031,14.667,14.632,14.467
1751851,Sy2,SBb,0.05496,18.3,17.61,17.51,15.901,15.048,14.605,14.297
482366,Sy1,Sp,0.677,23.0371,22.821,22.461,22.401,21.8835,21.879,20.3881
1907382,Sy1,E,0.17529,20.1,21,20.16,19.498,18.614,18.158,17.98
1606686,Sy2,Sab-Scd,0.05345,19.5,18.79,19.02,17.309,16.541,16.03,15.693
2063848,Sy1,Sc,0.06724,18.56,18.14,16.946,15.946,15.381,15.018,14.773
1642606,Sy2,Sbc,0.01239,12.74,12.05,15.272,13.382,12.717,12.304,11.96
2212177,Sy2,SA,0.01158,13.26,12.48,14.69,13.079,12.206,11.709,11.3
1646862,Sy1,SBb,0.05073,18.27,17.68,18.269,16.745,16.019,15.649,15.351
1753754,Sy2,SBb,0.05951,19.14,18.43,18.281,16.856,16.165,15.766,15.479
1395742,Sy2,Sb,0.04172,17.72,17.02,17.712,15.918,15.087,14.66,14.369
609478,Sy2,SAB,0.0016,9.14,8.41,12.504,10.917,10.098,9.658,9.382
458353,Sy1,?...,0.21028,19.14,18.56,19.2132,18.7863,18.0622,17.5717,17.473
2941052,Sy1,S/Irr,0.02851,17.19,16.74,16.209,15.303,14.776,14.52,14.266
1913628,Sy2,Sc(dSc),0.005237328,10.18,9.65,13.91,12.331,11.424,10.977,10.68
2664073,Sy1,S0,0.08664,17.46,16.8,18.886,17.362,16.452,16.016,15.716
1376165,Sy2,Sb,0.07858,19.07,18.33,18.659,16.872,15.964,15.503,15.093
