oid,otype,morph_type,rvz_redshift,B,V,u_,g_,r_,i_,z_
6175463,Sy2,,0.2644,,17,19.86,18.932,18.169,17.816,17.487
507771,Sy1,,0.17296,19.74,19.12,19.409,18.814,18.059,17.573,17.395
462166,Sy2,,0.10619,19.01,18.28,18.057,16.615,15.84,15.407,15.144
507350,Sy2,,0.21498,19.99,19.37,18.775,18.385,17.902,17.624,17.586
1825031,Sy1,,0.0298,14.86,14.08,,,,,
1017881,Sy1,,0.095,14.74,14.36,15.185,15.02,14.599,14.219,14.226
1377964,Sy1,,0.02101,,18.94,18.951,18.023,17.744,17.629,17.477
507767,Sy1,,0.21546,18.78,18.49,18.661,18.437,18.177,17.967,17.926
5319342,Sy2,,0.11732,19.94,19.34,19.642,18.394,17.471,16.934,16.595
1374226,Sy1,,0.152545532,,20.02,20.025,18.969,18.541,18.207,18.078
507768,Sy1,,0.4427,21.56,20.95,21.408,21.076,20.407,20.099,19.725
507769,Sy1,,0.29047,19.44,19.14,18.834,18.634,18.42,18.331,17.914
7840723,Sy1,,0.29333,19.94,19.29,20.059,19.605,18.852,18.496,18.035
507032,Sy1,,0.28981,20.08,19.5,19.54,19.135,18.44,18.092,17.729
4117403,Sy1,,0.65774,19.46,19.29,19.2907,19.0193,19.0177,18.8287,18.8014
1606081,Sy1,,0.53194,19.46,19.12,19.6326,19.0867,18.8392,18.4439,18.3184
275917,Sy1,,0.017,,15.4,,,,,
545553,Sy1,SAB,0.03664,16.46,16.08,16.047,15.192,14.626,14.314,14.093
3025576,Sy1,SABbc,0.005036492,10.19,9.73,,,,,
1812706,Sy2,SBb,0.012340287,15.34,14.45,,,,,
543916,Sy1,SA,0.008506,13,14,15.442,13.759,12.894,12.659,12.168
1672999,Sy1,?...,0.16012,16.73,16.55,16.5957,16.4445,16.4036,16.0995,16.252
510251,Sy2,,0.095668,19.47,18.75,19.47,17.858,17.005,16.439,16.134
9547057,Sy1,,0.614,,,20.3368,19.7054,19.6406,19.3549,19.536
11000776,Sy2,E...,0.10155,18,,19.57,17.742,16.863,16.465,16.157
2067262,Sy1,Sab,0.035192815,13.82,,,,,,
5319197,Sy2,,0.61374,21.83,21.21,22.0944,21.7676,20.9496,19.986,20.0629
1785979,Sy1,,0.17856,19.52,18.82,19.439,17.873,16.962,16.507,16.313
5537885,Sy1,,0.760096,,,20.3911,20.097,19.963,20.103,19.833
4909029,Sy1,,0.20188,20.16,19.68,19.894,19.534,19.004,18.597,18.386
1060602,Sy1,,0.12376,19.5,18.8,19.412,17.627,16.805,16.28,16.007
2941216,Sy2,S,0.060552,16,,17.273,15.902,15.254,14.904,14.651
563045,Sy2,1,0.02821,,,18.053,15.8,14.96,14.489,14.103
552678,Sy1,,0.00906,,,16.776,16.372,16.211,16.331,16.337
7841812,Sy1,,0.30102,19.49,19.2,18.961,18.944,18.7,18.649,18.217
1864125,Sy1,,0.13971,18.2,17.88,17.905,17.653,17.31,16.896,16.885
7841809,Sy1,,0.32379,21.15,20.27,22.215,20.544,19.345,19.04,18.35
1493928,Sy1,,0.155,,15.42,15.327,15.342,15.258,14.75,14.96
10686148,Sy2,,0.08284,,,18.641,17.017,16.148,15.692,15.344
1436866,Sy2,E,0.059615,15.19,,,,,,
1306365,Sy1,,0.052549688,15.8,15,,,,,
1357566,Sy1,,0.079114732,16.93,15.8,,,,,
3057484,Sy1,E,0.045251,15.36,14.17,,,,,
1215069,Sy1,1,0.059868084,14.92,,,,,,
3002016,Sy1,,0.061168984,15.61,15.22,,,,,
225291,Sy1,,0.04,12.15,12.19,,,,,
3195518,Sy1,1,0.027,15.11,14.98,,,,,
271696,Sy1,,0.029,,17.1,,,,,
790033,Sy2,-0.3,0.012582038,13.81,13.37,,,,,
425992,Sy1,,0.204,,16.8,,,,,
619748,Sy1,,0.127,17,,,17.2618,17.0546,16.221,16.2844
