otype,B,V
Sy2,,17
Sy1,19.74,19.12
Sy2,19.01,18.28
Sy2,19.99,19.37
Sy1,14.86,14.08
Sy1,14.74,14.36
Sy1,,18.94
Sy1,18.78,18.49
Sy2,19.94,19.34
Sy1,,20.02
Sy1,21.56,20.95
Sy1,19.44,19.14
Sy1,19.94,19.29
Sy1,20.08,19.5
Sy1,19.46,19.29
Sy1,19.46,19.12
Sy1,,15.4
Sy1,16.46,16.08
Sy1,10.19,9.73
Sy2,15.34,14.45
Sy1,13,14
Sy1,16.73,16.55
Sy2,19.47,18.75
Sy1,,
Sy2,18,
Sy1,13.82,
Sy2,21.83,21.21
Sy1,19.52,18.82
Sy1,,
Sy1,20.16,19.68
Sy1,19.5,18.8
Sy2,16,
Sy2,,
Sy1,,
Sy1,19.49,19.2
Sy1,18.2,17.88
Sy1,21.15,20.27
Sy1,,15.42
Sy2,,
Sy2,15.19,
Sy1,15.8,15
Sy1,16.93,15.8
Sy1,15.36,14.17
Sy1,14.92,
Sy1,15.61,15.22
Sy1,12.15,12.19
Sy1,15.11,14.98
Sy1,,17.1
Sy2,13.81,13.37
Sy1,,16.8
Sy1,17,
Sy1,17.62,17.2
Sy1,16.32,16.01
Sy1,17.92,17.53
Sy1,15.36,14.68
Sy1,,
Sy1,15.65,14.95
Sy1,14.08,
Sy1,16.3,
Sy1,18.42,17.87
Sy2,10.8,
Sy1,16.35,16.09
Sy1,15.02,14.63
Sy1,17.57,17.13
Sy1,17.88,18
Sy1,17.46,
Sy1,15.63,15.53
Sy1,15.5,15.5
Sy2,,
Sy1,,16.3
Sy2,14.17,
Sy2,,17
Sy1,17.71,
Sy2,17.02,
Sy2,14.6,
Sy2,18.5,
Sy2,,
Sy2,14.9,
Sy1,17.1,17.1
Sy2,14.4,
Sy2,14.94,14.95
Sy2,,
Sy2,14.81,13.8
Sy2,24.4871,
Sy2,15.5,
Sy2,16.5,
Sy2,15.71,
Sy2,16.8,
Sy2,17.52,16.71
Sy1,20.7,
Sy1,15.02,14.66
Sy1,17.54,17.28
Sy1,18.96,18.01
Sy2,16,
Sy1,16.79,16.35
Sy2,19.9,18.99
Sy2,16,
Sy1,17.37,16.95
Sy1,16.32,16.12
Sy1,,
Sy1,16.46,16.1
Sy1,17.6,16.66
Sy2,16.89,16.64
Sy1,16.63,15.78
Sy1,,
Sy1,14.75,
Sy1,,
Sy1,,18.66
Sy2,13.1,13.95
Sy2,,
Sy2,19.7,
Sy1,14.19,13.85
Sy1,14.93,14.25
Sy2,13.9,13.15
Sy1,,
Sy1,17.2,
Sy1,19.07,18.31
Sy2,15.7,
Sy2,,
Sy1,15.29,14.61
Sy1,,
Sy2,15.57,14.58
Sy2,14.9,14.08
Sy1,,15.5
Sy2,20,19.62
Sy2,17.05,16.36
Sy1,16.23,15.82
Sy2,17.36,15.6
Sy1,14.08,13.86
Sy1,17.18,17.01
Sy1,15.88,15.77
Sy1,14.8,15.2
Sy1,,
Sy1,16.77,16.5
Sy2,17.8,16.5
Sy1,20.82,19.87
Sy2,14.66,13.69
Sy1,,
Sy2,14.6,13.74
Sy2,,
Sy1,15.36,
Sy2,15.5,
Sy1,,
Sy2,15.2,
Sy2,,
Sy1,,
Sy1,,16.3
Sy1,,
Sy1,,
Sy2,,
Sy2,16.1,
Sy1,,
Sy2,,
Sy2,,
Sy2,12.72,13.61
Sy2,24.5198,
Sy1,16.02,15.7
Sy2,18.9,18.13
Sy1,18.12,17.1
Sy1,19.61,19.37
Sy1,19.55,19.2
Sy2,29.3767,
Sy1,26.342,25.42
Sy1,18.65,18.46
Sy1,18.43,18.09
Sy1,19.31,18.99
Sy1,17.64,17.42
Sy1,22.5698,21.953
Sy1,17.66,17.53
Sy1,,19.84
Sy1,,19.36
Sy1,17.97,17.75
Sy2,24.2892,25.18
Sy2,,
Sy1,,19.77
Sy1,20.03,19.52
Sy2,24.0498,23.2945
Sy2,,
Sy1,,20.45
Sy2,,
Sy1,21.52,21.39
Sy1,19.41,18.95
Sy2,23.8731,23.1241
Sy1,,
Sy2,19.16,18.36
Sy1,,20.2
