OType,ra,dec,rvz_redshift,rvz_radvel,plx_value,u_,g_,r_,i_,z_
Sy2,212.3802375,5.192030556,0.2644,69068.1659,,19.86,18.932,18.169,17.816,17.487
Sy1,151.8804082,55.82202732,0.17296,47424.39573,,19.409,18.814,18.059,17.573,17.395
Sy2,187.8710359,67.03438005,0.10619,30153.25537,,18.057,16.615,15.84,15.407,15.144
Sy2,150.1343371,55.60859413,0.21498,57651.01933,0.2539,18.775,18.385,17.902,17.624,17.586
Sy1,174.1220833,21.59583333,0.0298,8800.758771,,,,,,
Sy1,119.500218,39.34138797,0.095,27133.02211,,15.185,15.02,14.599,14.219,14.226
Sy1,41.59487917,-1.171411111,0.02101,6232.486634,,18.951,18.023,17.744,17.629,17.477
Sy1,149.6414404,56.04010168,0.21546,57765.0467,,18.661,18.437,18.177,17.967,17.926
Sy2,142.2825167,0.44365,0.11732,33121.11215,,19.642,18.394,17.471,16.934,16.595
Sy1,23.634662,-1.076982,0.152545532,42278.75474,,20.025,18.969,18.541,18.207,18.078
Sy1,150.2218304,56.49650355,0.4427,105209.4219,0.5148,21.408,21.076,20.407,20.099,19.725
Sy1,150.9561036,57.11661511,0.29047,74833.90481,0.021,18.834,18.634,18.42,18.331,17.914
Sy1,153.827094,56.686113,0.29333,75455.88538,0.9508,20.059,19.605,18.852,18.496,18.035
Sy1,152.8809616,56.79432213,0.28981,74690.07706,0.0413,19.54,19.135,18.44,18.092,17.729
Sy1,148.3212557,28.60043735,0.65774,139822.1768,0.309,19.2907,19.0193,19.0177,18.8287,18.8014
Sy1,135.6131623,4.719330727,0.53194,120642.906,,19.6326,19.0867,18.8392,18.4439,18.3184
Sy1,291.8314138,65.5650933,0.017,5053.15793,0.1955,,,,,
Sy1,141.3035329,52.28621842,0.03552,10459.62361,,16.287,15.562,15.205,14.891,14.684
Sy1,129.5455762,24.89527606,0.02866,8468.976882,,16.042,14.452,13.633,13.23,12.882
Sy1,180.3098043,-3.678059737,0.01948,5783.086484,0.2847,15.51,14.83,14.328,14.102,13.898
Sy1,156.3803279,51.67635219,0.04459,13069.99518,,16.215,15.823,15.474,15.182,14.991
Sy1,239.7900966,35.02987815,0.03102,9155.393116,,15.658,14.615,14.047,13.671,13.358
Sy1,218.7185782,48.66186971,0.03664,10783.29175,0.0498,16.047,15.192,14.626,14.314,14.093
