otype,morph_type
Sy2,
Sy1,
Sy2,
Sy1,
Sy2,
Sy1,
Sy1,
Sy1,
Sy1,
Sy2,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,SAB
Sy1,SABbc
Sy2,SBb
Sy1,SA
Sy1,?...
Sy2,
Sy1,
Sy2,E...
Sy1,Sab
Sy2,
Sy1,
Sy1,
Sy1,
Sy1,
Sy2,S
Sy2,1
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy2,
Sy2,E
Sy1,
Sy1,
Sy1,E
Sy1,1
Sy1,
Sy1,
Sy1,1
Sy1,
Sy2,-0.3
Sy1,
Sy1,
Sy1,S0/a
Sy1,
Sy1,
Sy1,3
Sy1,
Sy1,S
Sy1,
Sy1,-2.5
Sy1,
Sy1,
Sy2,
Sy1,
Sy1,
Sy1,cG
Sy1,
Sy1,
Sy1,E
Sy1,
Sy2,S
Sy1,
Sy2,3
Sy2,E
Sy1,
Sy2,
Sy2,SA_B_a
Sy2,
Sy2,
Sy2,E+A
Sy1,
Sy2,Sa
Sy2,3
Sy2,
Sy2,Sbc
Sy2,
Sy2,
Sy2,Sa
Sy2,S
Sy2,S0
Sy2,?rs...
Sy1,
Sy1,cG
Sy1,
Sy1,E:
Sy2,
Sy1,
Sy2,E
Sy2,E
Sy1,E:
Sy1,?...
Sy1,
Sy1,
Sy1,
Sy2,
Sy1,S0/a
Sy1,
Sy1,
Sy1,
Sy1,dEblue
Sy2,1
Sy2,
Sy2,E/S0
Sy1,E
Sy1,SA
Sy2,-1
Sy1,SB
Sy1,S0
Sy1,
Sy2,SB
Sy2,S0
Sy1,E/S0
Sy1,SB
Sy2,E/S0
Sy2,SB
Sy1,SB
Sy2,E/S0
Sy2,SA_B_a
Sy1,1
Sy2,E
Sy1,E
Sy1,E
Sy1,E/S0
Sy1,SB0
Sy1,E
Sy1,SB0
Sy2,S
Sy1,E/S0
Sy2,SB
Sy1,E/S0
Sy2,SB
Sy2,S0
Sy1,SB
Sy2,E/S0
Sy1,SA
Sy2,S0
Sy2,SB0
Sy1,E
Sy1,SA
Sy1,E
Sy1,E
Sy2,SA
Sy2,S0
Sy1,SA
Sy2,SA
Sy2,
Sy2,1
Sy2,
Sy1,
Sy2,
Sy1,
Sy1,
Sy1,
Sy2,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy2,
Sy2,
Sy1,
Sy1,
Sy2,
Sy2,Sab
Sy1,
Sy2,
Sy1,
Sy1,
Sy2,
Sy1,
Sy2,S
Sy1,
Sy2,
Sy2,
Sy2,
Sy2,S0
Sy2,
Sy2,
Sy2,-1
Sy1,
Sy2,
Sy1,
Sy2,
Sy1,
Sy2,
Sy1,
Sy1,
Sy1,
Sy1,
Sy2,Sb
Sy2,
Sy1,
Sy1,
Sy2,S0
Sy2,
Sy2,
Sy2,S0/a
Sy1,
Sy1,
Sy2,
Sy1,
Sy2,
Sy2,
Sy2,
Sy2,Sa
Sy2,
Sy1,
Sy1,
Sy1,1
Sy1,0
Sy1,
Sy2,
Sy1,
Sy1,
Sy2,
Sy1,
Sy2,
Sy2,
Sy1,
Sy1,
Sy1,
Sy2,
Sy2,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy2,Irr
Sy1,7
Sy2,
Sy2,
Sy1,
Sy1,
Sy2,
Sy1,
Sy2,
Sy1,
Sy2,Sb
Sy2,
Sy2,
Sy2,
Sy2,
Sy2,
Sy2,
Sy1,
Sy2,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy1,
Sy2,Sc
Sy2,
Sy1,
Sy1,
Sy2,
Sy1,
Sy2,S0-Sa
Sy1,
Sy1,
Sy2,
Sy2,S0-Sa
Sy1,
Sy1,
Sy2,
Sy1,
Sy1,
Sy2,
Sy1,
Sy2,
Sy2,-2
Sy2,SAB_x
Sy1,
Sy1,
Sy1,
Sy2,S0a
Sy1,
Sy1,
Sy1,
