<html><head>
<meta http-equiv="content-type" content="text/html; charset=UTF-8"></head><body>oid,otype,morph_type,morph_qual
6175463,"Sy2",,
507771,"Sy1",,
462166,"Sy2",,
9053242,"Sy1",,
507350,"Sy2",,
1825031,"Sy1",,
1017881,"Sy1",,
1377964,"Sy1",,
507767,"Sy1",,
5319342,"Sy2",,
1374226,"Sy1",,
507768,"Sy1",,
507769,"Sy1",,
7840723,"Sy1",,
507032,"Sy1",,
4117403,"Sy1",,
1606081,"Sy1",,
275917,"Sy1",,
545553,"Sy1","SAB",C
3025576,"Sy1","SABbc",D
1812706,"Sy2","SBb",D
543916,"Sy1","SA",C
1672999,"Sy1","?...",D
510251,"Sy2",,
9547057,"Sy1",,
11000776,"Sy2","E...",D
2067262,"Sy1","Sab",E
5319197,"Sy2",,
1785979,"Sy1",,
5537885,"Sy1",,
4909029,"Sy1",,
1060602,"Sy1",,
2941216,"Sy2","S",E
563045,"Sy2","1",D
552678,"Sy1",,
7841812,"Sy1",,
1864125,"Sy1",,
7841809,"Sy1",,
1493928,"Sy1",,
10686148,"Sy2",,
1436866,"Sy2","E",D
1306365,"Sy1",,
1357566,"Sy1",,
3057484,"Sy1","E",D
1215069,"Sy1","1.0",D
3002016,"Sy1",,
225291,"Sy1",,
3195518,"Sy1","1.0",D
271696,"Sy1",,
790033,"Sy2","-0.3",D
425992,"Sy1",,
619748,"Sy1",,
4495329,"Sy1","S0/a",E
4111697,"Sy1",,
2763911,"Sy1",,
2269009,"Sy1","3.0",D
2544200,"Sy1",,
1436935,"Sy1","S",D
3952717,"Sy1",,
915920,"Sy1","-2.5",D
330485,"Sy1",,
4495275,"Sy1",,
723099,"Sy2",,
4112089,"Sy1",,
2173442,"Sy1",,
2210181,"Sy1","cG",D
1282433,"Sy1",,
5175442,"Sy1",,
1291941,"Sy1","E",D
440368,"Sy1",,
3409232,"Sy2","S",D
3038172,"Sy1",,
694055,"Sy2","3.0",D
2795173,"Sy2","E",D
5181216,"Sy1",,
321674,"Sy2",,
2105730,"Sy2","SA_B_a",C
739389,"Sy2",,
5346391,"Sy2",,
1042950,"Sy2","E+A",E
2049350,"Sy1",,
334201,"Sy2","Sa",D
3043144,"Sy2","3.0",D
1417745,"Sy2",,
2058052,"Sy2","Sbc",D
482547,"Sy2",,
1951917,"Sy2",,
606875,"Sy2","Sa",D
3038376,"Sy2","S",D
3142456,"Sy2","S0",D
1845232,"Sy2","?rs...",D
157732,"Sy1",,
1445445,"Sy1","cG",D
1065046,"Sy1",,
700187,"Sy1","E:",D
410021,"Sy2",,
1107574,"Sy1",,
541243,"Sy2","E",D
2300657,"Sy2","E",D
1658287,"Sy1","E:",D
1797803,"Sy1","?...",D
8707476,"Sy1",,
2262704,"Sy1",,
2264096,"Sy1",,
5319644,"Sy2",,
2816187,"Sy1","S0/a",E
2533649,"Sy1",,
2356247,"Sy1",,
8707526,"Sy1",,
624121,"Sy1","dEblue",C
1760033,"Sy2","1.0",D
1863964,"Sy2",,
3764415,"Sy2","E/S0",D
1474287,"Sy1","E",D
7867,"Sy1","SA",D
1200203,"Sy2","-1.0",D
47620,"Sy1","SB",D
637808,"Sy1","S0",D
7841325,"Sy1",,
733509,"Sy2","SB",D
4083204,"Sy2","S0",D
369526,"Sy1","E/S0",D
1014134,"Sy1","SB",D
394538,"Sy2","E/S0",D
1036347,"Sy2","SB",D
1071553,"Sy1","SB",D
1105770,"Sy2","E/S0",D
