OType,ra,dec,rvz_redshift,rvz_radvel
Sy2,212.3802375,5.192030556,0.2644,69068.1659
Sy1,151.8804082,55.82202732,0.17296,47424.39573
Sy2,187.8710359,67.03438005,0.10619,30153.25537
Sy1,50.86844,-37.16924,,
Sy2,150.1343371,55.60859413,0.21498,57651.01933
Sy1,174.1220833,21.59583333,0.0298,8800.758771
Sy1,119.500218,39.34138797,0.095,27133.02211
Sy1,41.59487917,-1.171411111,0.02101,6232.486634
Sy1,149.6414404,56.04010168,0.21546,57765.0467
Sy2,142.2825167,0.44365,0.11732,33121.11215
Sy1,23.634662,-1.076982,0.152545532,42278.75474
Sy1,150.2218304,56.49650355,0.4427,105209.4219
Sy1,150.9561036,57.11661511,0.29047,74833.90481
Sy1,153.827094,56.686113,0.29333,75455.88538
Sy1,152.8809616,56.79432213,0.28981,74690.07706
Sy1,148.3212557,28.60043735,0.65774,139822.1768
Sy1,135.6131623,4.719330727,0.53194,120642.906
Sy1,291.8314138,65.5650933,0.017,5053.15793
Sy1,141.3035329,52.28621842,0.03552,10459.62361
Sy1,129.5455762,24.89527606,0.02866,8468.976882
Sy1,180.3098043,-3.678059737,0.01948,5783.086484
Sy1,156.3803279,51.67635219,0.04459,13069.99518
Sy1,239.7900966,35.02987815,0.03102,9155.393116
Sy1,218.7185782,48.66186971,0.03664,10783.29175
Sy1,65.00165353,-54.93795131,0.005036492,1506.1
Sy1,166.6977634,72.56869399,0.008,2388.74661
Sy2,170.8844922,-8.658536138,0.012340287,3676.7
Sy1,311.0406269,-10.72353532,0.035,10309.22175
Sy1,205.5349173,35.65429653,0.00386,1154.965511
Sy1,231.5256518,41.6706623,0.008506,2539.189739
Sy1,214.4980835,25.1368342,0.01627,4837.948993
Sy1,151.0839083,5.216778023,0.16012,44201.6685
Sy1,176.3164318,79.68149352,0.067258719,19487
Sy2,133.5698508,50.44221286,0.095668,27314.34578
Sy1,35.69267942,-4.247463674,0.614,133471.9084
Sy2,199.4348195,33.46014499,0.10155,28905.33578
Sy1,199.5225716,33.82717181,0.035192815,10365
Sy2,114.441194,40.362909,0.61374,133433.1814
Sy1,166.7550343,18.43022325,0.17856,48815.48269
Sy1,35.10478425,-4.748305273,0.760096,153478.6469
Sy1,176.9659687,14.00044011,0.20188,54514.85286
Sy1,124.4800647,31.47428211,0.12376,34821.96365
Sy2,245.1571542,41.46692446,0.060552,17604.38009
Sy2,226.211852,42.73448,0.02821,8337.903351
Sy1,173.3499074,55.07108171,0.00906,2703.816148
Sy1,198.8712027,33.96113728,0.30102,77118.05212
Sy1,179.0417084,14.88049947,0.13971,38983.03843
Sy1,198.8619473,34.20482342,0.32379,81953.27509
Sy1,13.71715986,25.42749534,0.155,42903.64318
Sy2,3.607186043,14.9373787,0.08284,23809.39875
Sy2,17.22029243,13.33729522,0.059615,17340.29583
Sy1,18.45864305,-14.84565541,0.052549688,15340.6084
Sy1,23.69014517,-4.503638559,0.079114732,22782.49149
Sy1,38.80605706,-29.60479233,0.059868084,17411.65071
Sy1,39.5821519,-52.19231775,0.045251,13259.2734
Sy1,39.70406816,-40.64389698,0.061168984,17778.12863
Sy1,41.24040296,62.46847697,0.04,11752.0487
Sy1,46.89726634,-72.83405466,0.027,7985.160785
Sy1,73.01988484,49.54576411,0.029,8567.970048
Sy2,79.89921623,-32.65775642,0.012582038,3748.272132
Sy1,230.9411293,63.65674273,0.204,55025.55739
Sy1,47.68488678,32.65807968,0.127,35673.14319
Sy1,206.6183994,19.37866718,0.08378,24067.87332
Sy1,113.2883461,45.91840354,0.14137,39411.91242
Sy1,8.569985133,-79.08895182,0.076950426,22184
Sy1,217.7699263,28.2872577,0.047330879,13854
Sy1,106.8045779,64.59971542,0.0795,22888.88404
Sy1,257.2463565,21.88560316,0.0719,20782.03681
Sy1,18.46267036,13.27172338,0.04982,14564.05225
Sy1,235.5999205,-14.18491092,0.0964,27512.89175
Sy1,140.9291688,22.90904889,0.03322,9793.773008
Sy1,100.0487164,-25.89529436,0.025821197,7641.091526
Sy1,197.6806485,-55.8698694,0.104,29565.04122
Sy1,295.0628966,-30.26435468,0.054411518,15869
Sy1,246.3581288,85.49491617,0.062914,18268.9304
Sy1,20.94067981,-58.80578026,0.047,13759.47369
Sy1,198.4540281,36.89944615,0.06683,19367.05454
Sy1,205.3036816,-14.64451328,0.041752,12255.84962
Sy2,69.55912779,-10.79584552,0.036124992,10634.50628
Sy1,118.0743618,19.59507818,0.11701,33038.93618
Sy1,159.6881954,-49.78157744,0.06,17448.83585
Sy1,319.8713667,33.549075,0.050591666,14783.80488
Sy1,208.9730316,38.57463334,0.05018,14666.59394
Sy1,327.4919589,-18.98994025,0.157605699,43565.16744
Sy1,91.45399244,-27.91110956,0.089228395,25560.91601
Sy1,109.5025286,44.0908649,0.063448205,18419
Sy1,324.4383166,-14.54880431,0.199928312,54043.60707
Sy1,207.3302508,-30.30950384,0.015558363,4628
Sy2,120.087435,26.61351568,0.02674,7909.307693
Sy1,323.6880695,-27.43209142,0.0668,19358.65922
Sy2,222.888083,-55.67731428,0.018,5347.705593
Sy1,72.93337088,-58.18341525,0.091,26044.51607
Sy2,60.60693089,-18.04761003,0.02636,7798.409103
Sy2,238.4316312,23.8070695,0.11761,33197.96125
Sy1,171.8179319,19.15556542,0.105499652,29967.98502
Sy1,289.8668511,-29.9689069,0.16681874,45888.77134
Sy2,23.490629,-36.493279,0.03008,8882.18961
Sy2,197.2733038,11.63411803,0.02515,7444.996822
Sy2,86.81201244,50.64040972,0.036,10598.38441
Sy1,195.022283,16.53743305,0.07993,23007.57778
Sy2,71.1571157,-28.16512365,0.147,40860.6107
Sy2,86.09400601,59.12665096,0.0674,19526.51501
Sy2,121.1933502,10.77667128,0.03474,10233.99053
Sy1,344.7304825,40.93234989,0.01669,4961.787334
Sy2,111.6097252,-35.90604033,0.029624,8749.561673
Sy2,152.450782,-42.81125846,0.032859,9689.119888
Sy2,90.65827805,65.3712421,0.017,5053.15793
Sy2,196.0597002,-10.3395279,0.010382036,3096.3
Sy2,40.51590465,5.168384577,0.07106,20548.12754
Sy2,189.132751,62.295897,0.679,142793.6418
Sy2,198.8219433,44.40711164,0.03552,10459.62361
Sy2,189.9652857,34.97493524,0.04306,12631.37792
Sy2,160.0929708,-46.42401389,0.02379,7047.250134
Sy2,69.9960208,-59.68160698,0.0577,16799.761
Sy2,175.570296,14.06660101,0.02074,6153.231659
Sy1,324.9373469,59.8375071,0.114,32239.58597
