otype,ra,dec,rvz_redshift,rvz_radvel,plx_value,dist,unit
Sy1,174.1220833,21.59583333,0.0298,8800.758771,,128.4,Mpc 
Sy1,141.3035329,52.28621842,0.03552,10459.62361,,153.6,Mpc 
Sy1,218.7185782,48.66186971,0.03664,10783.29175,0.0498,157.3,Mpc 
Sy1,166.6977634,72.56869399,0.008,2388.74661,,40.38,Mpc 
Sy1,166.6977634,72.56869399,0.008,2388.74661,,38,Mpc 
Sy1,166.6977634,72.56869399,0.008,2388.74661,,38.9,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,20.4,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,6.1376,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,6.61,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,5.5,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,6.61,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,21.3,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,6,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,19.76,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,17,Mpc 
Sy1,65.00165353,-54.93795131,0.005036492,1506.1,0.1385,20.7,Mpc 
Sy1,311.0406269,-10.72353532,0.035,10309.22175,0.0082,151,Mpc 
Sy1,311.0406269,-10.72353532,0.035,10309.22175,0.0082,149.2,Mpc 
Sy2,170.8844922,-8.658536138,0.012340287,3676.7,0.323,56.5,Mpc 
Sy2,170.8844922,-8.658536138,0.012340287,3676.7,0.323,56.5,Mpc 
Sy1,231.5256518,41.6706623,0.008506,2539.189739,,40.8,Mpc 
Sy1,41.24040296,62.46847697,0.04,11752.0487,,192.2,Mpc 
Sy1,73.01988484,49.54576411,0.029,8567.970048,0.1157,125.3,Mpc 
Sy1,100.0487164,-25.89529436,0.025821197,7641.091526,0.1205,106.8,Mpc 
Sy2,69.55912779,-10.79584552,0.036124992,10634.50628,0.2042,157.9,Mpc 
Sy1,208.9730316,38.57463334,0.05018,14666.59394,0.2051,222.8,Mpc 
Sy2,197.2733038,11.63411803,0.02515,7444.996822,,108.5,Mpc 
Sy2,121.1933502,10.77667128,0.03474,10233.99053,,149.3,Mpc 
Sy2,90.65827805,65.3712421,0.017,5053.15793,,65.73,Mpc 
Sy2,90.65827805,65.3712421,0.017,5053.15793,,73.8,Mpc 
Sy2,111.6097252,-35.90604033,0.029624,8749.561673,0.3609,126.5,Mpc 
Sy1,344.7304825,40.93234989,0.01669,4961.787334,,70.26,Mpc 
Sy1,344.7304825,40.93234989,0.01669,4961.787334,,72.7,Mpc 
Sy2,152.450782,-42.81125846,0.032859,9689.119888,,141.06,Mpc 
Sy2,196.0597002,-10.3395279,0.010382036,3096.3,0.465,36.31,Mpc 
Sy2,196.0597002,-10.3395279,0.010382036,3096.3,0.465,42.07,Mpc 
Sy2,196.0597002,-10.3395279,0.010382036,3096.3,0.465,43.8,Mpc 
Sy2,196.0597002,-10.3395279,0.010382036,3096.3,0.465,41.69,Mpc 
Sy2,196.0597002,-10.3395279,0.010382036,3096.3,0.465,44.8,Mpc 
Sy2,196.0597002,-10.3395279,0.010382036,3096.3,0.465,34,Mpc 
Sy2,196.0597002,-10.3395279,0.010382036,3096.3,0.465,44.3,Mpc 
Sy2,196.0597002,-10.3395279,0.010382036,3096.3,0.465,47.4,Mpc 
Sy2,198.8219433,44.40711164,0.03552,10459.62361,6.2949,158.8,Mpc 
Sy2,160.0929708,-46.42401389,0.02379,7047.250134,,102.5,Mpc 
Sy2,147.4415292,73.23979167,0.058,16884.51203,,259.3,Mpc 
Sy1,207.285007,44.69156206,0.065,18854.45193,0.099,292.1,Mpc 
